name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
Mushoku Tensei: Jobless Reincarnation,48,ja,768,8.6,3
Magnificent Century,139,tr,764,8.133,3
The Order,20,en,762,7.771,2
A Series of Unfortunate Events,25,en,761,7.348,2
Horimiya,13,ja,757,8.583,3
The Midnight Gospel,8,en,756,8.318,3
Fullmetal Alchemist,51,ja,756,8.251,3
Resident Evil: Infinite Darkness,4,en,753,7.747,2
The Last Man on Earth,67,en,753,6.899,2
American Horror Stories,19,en,753,7.9,2
High School Musical: The Musical: The Series,38,en,752,8.01,3
Misfits,37,en,751,7.646,2
Ben 10: Ultimate Alien,52,en,749,8.207,3
Weeds,102,en,747,7.5,2
Continuum,42,en,747,7.534,2
"Diomedes, el Cacique de La Junta",114,es,747,7.2,2
Z Nation,68,en,744,7.189,2
Final Space,36,en,742,8.427,3
Reign,78,en,742,8.042,3
iCarly,33,en,742,7.668,2
Miss Kobayashi's Dragon Maid,25,ja,738,8.4,3
Digimon Adventure,104,ja,738,8.1,3
Slugterra,59,en,738,8.314,3
The Terror,20,en,736,7.307,2
Limitless,22,en,734,7.3,2
Blue Bloods,275,en,734,7.736,2
Secret Invasion,6,en,732,7.1,2
My Love From Another Star,21,ko,732,8.341,3
Jackie Chan Adventures,95,en,732,8.139,3
Marimar,149,es,728,6.963,2
Baby,18,it,728,7.883,2
Captain Tsubasa,128,ja,727,7.829,2
Wynonna Earp,49,en,727,7.95,2
Weightlifting Fairy Kim Bok-joo,16,ko,722,8.642,3
Mr. Pickles,30,en,721,8.167,3
Battlestar Galactica,2,en,720,8.172,3
High School of the Dead,12,ja,719,8.257,3
ER,331,en,719,7.845,2
Hanna,22,en,719,7.508,2
Star Wars Rebels,69,en,718,7.691,2
Dragon Ball Z Kai,158,ja,717,7.4,2
MacGyver,139,en,717,7.745,2
The Fall,17,en,717,7.724,2
My Name,8,ko,715,8.283,3
Outer Banks,30,en,715,8.445,3
Dexter's Laboratory,221,en,715,7.63,2
The L Word,71,en,714,7.663,2
Plunderer,24,ja,711,8.357,3
FBI,100,en,711,8.0,2
The Adventures of Jimmy Neutron: Boy Genius,76,en,710,7.4,2
Hercai,69,tr,708,7.77,2
Bodyguard,6,en,708,7.838,2
From,20,en,707,8.225,3
Given,11,ja,703,8.57,3
Kengan Ashura,36,ja,703,8.344,3
Justice League Unlimited,39,en,702,8.304,3
Broadchurch,24,en,702,7.965,2
Phineas and Ferb,223,en,701,7.875,2
Barry,32,en,700,7.933,2
Wayward Pines,20,en,700,6.832,2
The Office,12,en,699,7.871,2
Ballers,47,en,699,6.7,2
Dark Matter,39,en,699,6.7,2
Maniac,10,en,698,7.405,2
I Dream of Jeannie,139,en,698,7.83,2
Empire,102,en,697,7.184,2
Glee,121,en,696,6.713,2
Violet Evergarden,13,ja,694,8.6,3
Deadwood,36,en,694,8.109,3
When They See Us,4,en,693,8.23,3
